date,method,origin_date,pred,actual
2008-04-11,naive,2008-04-09,17.469,13.527
2008-04-12,naive,2008-04-09,17.469,12.324
2008-05-02,naive,2008-04-09,17.469,19.549
2008-05-03,naive,2008-04-09,17.469,18.063
2008-05-05,naive,2008-04-09,17.469,18.517
2008-05-06,naive,2008-04-09,17.469,17.295
2008-05-08,naive,2008-04-09,17.469,17.127
2008-05-09,naive,2008-04-09,17.469,17.296
2008-05-11,naive,2008-04-09,17.469,13.372
2008-05-12,naive,2008-04-09,17.469,12.159
2008-06-02,naive,2008-04-09,17.469,19.242
2008-06-05,naive,2008-04-09,17.469,18.483
2008-06-06,naive,2008-04-09,17.469,17.169
2008-06-08,naive,2008-04-09,17.469,17.147
2008-06-10,naive,2008-04-09,17.469,15.065
2008-06-11,naive,2008-04-09,17.469,13.108
2008-07-01,naive,2008-04-09,17.469,21.066
2008-07-02,naive,2008-04-09,17.469,19.026
2008-07-03,naive,2008-04-09,17.469,17.689
2008-07-04,naive,2008-04-09,17.469,17.221
2008-07-05,naive,2008-04-09,17.469,18.463
2008-07-07,naive,2008-04-09,17.469,15.821
2008-07-08,naive,2008-04-09,17.469,17.169
2008-07-10,naive,2008-04-09,17.469,14.932
2008-07-11,naive,2008-04-09,17.469,13.246
2008-08-01,naive,2008-04-09,17.469,20.891
2008-08-02,naive,2008-04-09,17.469,18.892
2008-08-04,naive,2008-04-09,17.469,17.178
2008-08-05,naive,2008-04-09,17.469,18.216
2008-08-07,naive,2008-04-09,17.469,15.701
2008-04-11,seasonal_naive,2008-04-09,17.469,13.527
2008-04-12,seasonal_naive,2008-04-09,17.469,12.324
2008-05-02,seasonal_naive,2008-04-09,17.469,19.549
2008-05-03,seasonal_naive,2008-04-09,17.469,18.063
2008-05-05,seasonal_naive,2008-04-09,17.469,18.517
2008-05-06,seasonal_naive,2008-04-09,17.469,17.295
2008-05-08,seasonal_naive,2008-04-09,17.469,17.127
2008-05-09,seasonal_naive,2008-04-09,17.469,17.296
2008-05-11,seasonal_naive,2008-04-09,17.469,13.372
2008-05-12,seasonal_naive,2008-04-09,17.469,12.159
2008-06-02,seasonal_naive,2008-04-09,17.469,19.242
2008-06-05,seasonal_naive,2008-04-09,17.469,18.483
2008-06-06,seasonal_naive,2008-04-09,17.469,17.169
2008-06-08,seasonal_naive,2008-04-09,17.469,17.147
2008-06-10,seasonal_naive,2008-04-09,17.469,15.065
2008-06-11,seasonal_naive,2008-04-09,17.469,13.108
2008-07-01,seasonal_naive,2008-04-09,17.469,21.066
2008-07-02,seasonal_naive,2008-04-09,17.469,19.026
2008-07-03,seasonal_naive,2008-04-09,17.469,17.689
