scheme_code,model,MAE,RMSE
100121,RandomForest,0.062016285603705014,0.09287320571761666
100121,XGBoost,0.06653906831991328,0.0983805402865148
100122,RandomForest,0.06412043008974978,0.10468956308412322
100122,XGBoost,0.07065293998527873,0.11199817329142883
