alpha,amc_name,beta,category,expense_ratio,fund_age_yr,fund_manager,fund_size_cr,log_fund_size,min_lumpsum,min_sip,rating,returns_1yr,returns_3yr,returns_5yr,risk_level,scheme_name,sd,sharpe,sortino,sub_category
1.29,IDBI Mutual Fund,0.81,Equity,1.5,4,Alok Ranjan,85,4.454347296253507,5000,500,3,0.1,25.2,8.8,6,IDBI Dividend Yield Fund,14.28,1.43,2.79,Dividend Yield Funds
-1.93,IDBI Mutual Fund,0.8,Equity,1.21,10,Alok Ranjan,455,6.1224928095143865,500,500,2,-0.7,33.7,11.3,6,IDBI Equity Advantage Fund,14.59,1.15,2.4,ELSS Mutual Funds
0.39,IDBI Mutual Fund,1.05,Hybrid,1.15,10,Alok Ranjan,9.77,2.3767644911682972,5000,500,2,2.5,11.8,7.2,4,IDBI Equity Savings Fund,7.12,1.11,2.48,Equity Savings Mutual Funds
-0.57,IDBI Mutual Fund,0.94,Equity,1.61,5,Alok Ranjan,125,4.836281906951478,5000,500,3,0.1,25.2,10.2,6,IDBI Focused 30 Equity Fund,16.02,1.29,3.11,Focused Funds
-0.02,IDBI Mutual Fund,1,Other,0.26,10,Nitin Dattaram Dalvi,42,3.7612001156935624,5000,500,3,15,12.1,12.9,5,IDBI Gold Fund,16.54,0.42,0.82,FoFs Domestic
-3.1,IDBI Mutual Fund,0.95,Equity,1.24,4,Alok Ranjan,49,3.912023005428146,5000,500,3,-13,17.1,8.8,6,IDBI Healthcare Fund,20.52,0.71,1.57,Sectoral / Thematic Mutual Funds
-0.86,IDBI Mutual Fund,0.78,Hybrid,1.67,6,Alok Ranjan,171,5.147494476813453,5000,500,2,-1.8,17.5,7,6,IDBI Hybrid Equity Fund,11.4,1.18,2.66,Aggressive Hybrid Mutual Funds
0.51,IDBI Mutual Fund,0.93,Equity,1.26,10,Alok Ranjan,599,6.396929655216146,5000,500,4,0.5,26,12.4,6,IDBI India Top 100 Equity Fund,15.82,1.36,2.94,Large Cap Mutual Funds
1.43,IDBI Mutual Fund,0.75,Debt,0.13,10,Raju Sharma,763,6.638567789166521,5000,500,4,5.6,4.4,5.4,2,IDBI Liquid Fund,0.36,1.19,5.73,Liquid Mutual Funds
1.21,IDBI Mutual Fund,0.94,Equity,1.67,5,Alok Ranjan,92,4.532599493153256,5000,500,2,-0.1,25.4,8.8,6,IDBI Long Term Value Fund,16.51,1.36,2.89,Value Funds
-5.96,IDBI Mutual Fund,0.97,Equity,1.62,6,Alok Ranjan,176,5.176149732573829,5000,500,1,-2.9,25.1,7.7,6,IDBI Midcap Fund,17.76,1.27,2.57,Mid Cap Mutual Funds
-0.9,IDBI Mutual Fund,1,Other,0.32,10,Nisha Sharma,188,5.241747015059643,5000,500,3,0.8,25.8,11.8,6,IDBI Nifty 50 Index Fund,16.78,1.29,3.47,Index Funds
-4.78,IDBI Mutual Fund,0.98,Other,0.32,10,Nisha Sharma,49,3.912023005428146,5000,500,1,-6.1,21.8,6.2,6,IDBI Nifty Next 50 Index Fund,18.03,0.96,1.71,Index Funds
3.82,IDBI Mutual Fund,-0.57,Debt,0.28,10,Raju Sharma,29,3.4011973816621555,5000,500,4,4.1,9.4,6.9,2,IDBI Short Term Bond Fund,5,0.92,3.22,Short Duration Funds
8.16,IDBI Mutual Fund,0.71,Equity,1.54,6,Alok Ranjan,143,4.969813299576001,5000,500,3,2.1,38.5,12.6,6,IDBI Small Cap Fund,16.34,1.95,4.09,Small Cap Mutual Funds
1.14,IDBI Mutual Fund,0.15,Debt,0.25,10,Raju Sharma,198,5.293304824724492,5000,500,3,5.4,5.1,5.9,2,IDBI Ultra Short Term Fund,0.72,1.29,1.68,Ultra Short Duration Funds
1.61,IIFL Mutual Fund,0.6,Debt,0.27,10,Milan Mody,494,6.20455776256869,10000,1000,4,3.3,6,6.5,3,IIFL Dynamic Bond Fund,1.86,0.96,1.63,Dynamic Bond
3.78,IIFL Mutual Fund,0.91,Equity,0.9,8,Mayur Patel,3416,8.136518252115291,1000,1000,5,4.7,29.2,18.1,6,IIFL Focused Equity Fund,16.2,1.56,3.39,Focused Funds
0.87,IIFL Mutual Fund,0.64,Debt,0.2,9,Milan Mody,601,6.400257445308821,5000,1000,2,5.5,3.9,4.8,3,IIFL Liquid Fund,0.39,0.04,0.19,Liquid Mutual Funds
0.18,Indiabulls Mutual Fund,0.54,Hybrid,0.58,8,Sumit Bhatnagar,14,2.70805020110221,500,1000,2,4.3,3.3,4.5,1,Indiabulls Arbitrage Fund,0.67,-0.82,-1.04,Arbitrage Mutual Funds
-3.4,Indiabulls Mutual Fund,0.94,Equity,1.27,10,Sumit Bhatnagar,91,4.5217885770490405,500,500,2,2,21.3,9.5,6,Indiabulls Bluechip Fund,16.22,1.1,2.23,Large Cap Mutual Funds
0.95,Indiabulls Mutual Fund,0.84,Debt,0.36,4,Karan Singh,25,3.258096538021482,500,500,3,4.2,5.2,8.8,3,Indiabulls Dynamic Bond Fund,2.04,0.58,0.99,Dynamic Bond
0.47,Indiabulls Mutual Fund,0.87,Hybrid,1.55,4,Sumit Bhatnagar,32,3.4965075614664802,500,500,3,3.2,20.5,8.8,5,Indiabulls Equity Hybrid Fund,12.71,1.29,2.77,Aggressive Hybrid Mutual Funds
0.95,Indiabulls Mutual Fund,0.63,Debt,0.22,10,Karan Singh,212,5.3612921657094255,500,500,1,5.4,4,5.2,2,Indiabulls Liquid Fund,0.36,0.28,1.28,Liquid Mutual Funds
0.4,Indiabulls Mutual Fund,0.39,Debt,0.18,4,Karan Singh,42,3.7612001156935624,500,500,1,5.2,3.8,8.8,1,Indiabulls Overnight Fund,0.33,-0.36,-1.77,Overnight Mutual Funds
4.88,Indiabulls Mutual Fund,2.83,Debt,0.38,10,Karan Singh,25,3.258096538021482,500,500,2,4.4,5.1,5.9,3,Indiabulls Short Term Fund,1.55,0.7,1.15,Short Duration Funds
-2.36,Indiabulls Mutual Fund,0.88,Equity,0.5,5,Sumit Bhatnagar,36,3.6109179126442243,500,500,2,1,22.3,7.8,6,Indiabulls Tax Savings Fund,15.09,1.21,2.52,ELSS Mutual Funds
-0.23,Indiabulls Mutual Fund,0.92,Equity,0.5,8,Sumit Bhatnagar,9.71,2.3711778844596574,500,500,2,-0.2,25.6,6.3,6,Indiabulls Value Fund,16.23,1.27,2.9,Value Funds
1.82,Invesco Mutual Fund,0.86,Other,0.73,9,Amit Nigam,12,2.5649493574615367,1000,500,3,9.5,24.4,9.5,6,Invesco India – Invesco GEI Fund,17.74,1.01,1.58,FoFs Overseas
1.77,Invesco Mutual Fund,0.53,Hybrid,0.38,10,Deepak Gupta,3184,8.066207568006263,1000,500,5,6.4,5,5.6,1,Invesco India Arbitrage Fund,0.71,1.5,2.16,Arbitrage Mutual Funds
4.59,Invesco Mutual Fund,2.79,Debt,0.28,10,Vikas Garg,131,4.882801922586371,1000,1000,1,2.3,5.8,6.4,3,Invesco India Banking & PSU Debt Fund,3.47,0.25,0.33,Banking and PSU Mutual Funds
2.27,Invesco Mutual Fund,0.94,Equity,0.62,10,Taher Badshah,9347,9.142917695658749,1000,500,4,2.8,27.6,12.3,6,Invesco India Contra Fund,16.24,1.45,3.5,Contra Funds
1.51,Invesco Mutual Fund,0.67,Debt,0.28,10,Vikas Garg,2065,7.633369649679584,1000,100,3,3.7,6.4,6.9,2,Invesco India Corporate Bond Fund,1.86,0.91,1.56,Corporate Bond Mutual Funds
9.17,Invesco Mutual Fund,4.76,Debt,0.28,9,Vikas Garg,129,4.867534450455582,1000,1000,2,4.4,6,3.5,2,Invesco India Credit Risk Fund,2.89,0.97,2.95,Credit Risk Funds
0.76,Invesco Mutual Fund,0.59,Hybrid,0.95,10,Amit Ganatra,612,6.418364935936212,1000,500,2,3.9,15.4,7.4,6,Invesco India Dynamic Equity Fund,9.2,1.27,2.84,Dynamic Asset Allocation or Balanced Advantage
1.1,Invesco Mutual Fund,0.71,Hybrid,0.76,5,Dhimant Kothari,378,5.937536205082426,1000,500,2,1.5,17.4,8.8,6,Invesco India Equity & Bond Fund,10.94,1.29,2.71,Aggressive Hybrid Mutual Funds
0.17,Invesco Mutual Fund,0.82,Hybrid,0.73,4,Dhimant Kothari,132,4.890349128221754,1000,500,2,1.2,9.6,8.8,4,Invesco India Equity Savings Fund,5.58,1.08,1.9,Equity Savings Mutual Funds
1.74,Invesco Mutual Fund,0.8,Equity,1.08,10,Hiten Jain,472,6.159095388491933,1000,100,3,5.9,22.6,10.9,6,Invesco India Financial Services Fund,21.36,1,2.16,Sectoral / Thematic Mutual Funds
-0.44,Invesco Mutual Fund,0.54,Debt,0.48,10,Vikas Garg,22,3.1354942159291497,1000,100,1,4.9,4.2,6.7,2,Invesco India Gilt Fund,2.51,0.06,0.08,Gilt Mutual Funds
0.29,Invesco Mutual Fund,1.03,Other,0.16,10,Krishna Cheemalapati,59,4.0943445622221,1000,500,4,13.2,11.5,13.2,5,Invesco India Gold Fund,14.79,0.51,1.22,FoFs Domestic
0.23,Invesco Mutual Fund,0.84,Equity,0.66,10,Amit Ganatra,3665,8.20685642839965,1000,100,3,0.8,22.8,11,6,Invesco India Growth Opportunities Fund,15.03,1.3,2.85,Large & Mid Cap Funds
8.67,Invesco Mutual Fund,0.61,Equity,1.08,10,Amit Nigam,445,6.100318952020064,1000,500,5,8.9,33.2,14.6,6,Invesco India Infrastructure Fund,17.74,1.59,3.6,Sectoral / Thematic Mutual Funds
-0.23,Invesco Mutual Fund,0.92,Equity,0.81,10,Amit Nigam,724,6.586171654854675,1000,100,4,-1.8,24,11.1,6,Invesco India Largecap Fund,16.09,1.28,2.62,Large Cap Mutual Funds
1.31,Invesco Mutual Fund,0.75,Debt,0.15,10,Krishna Cheemalapati,6434,8.769507120030227,1000,500,3,5.6,4.3,5.3,2,Invesco India Liquid Fund,0.37,0.83,4.13,Liquid Mutual Funds
1.82,Invesco Mutual Fund,0.86,Debt,0.4,2,Vikas Garg,306,5.726847747587197,1000,1000,2,3.5,18.15,8.8,3,Invesco India Medium Duration Fund,12.1,1.29,2.86,Medium Duration Funds
-0.38,Invesco Mutual Fund,0.86,Equity,0.72,10,Pranav Gokhale,2618,7.870547844507712,1000,500,3,0.2,33.5,14.6,6,Invesco India Midcap Fund,15.97,1.56,3.31,Mid Cap Mutual Funds
3.07,Invesco Mutual Fund,1.61,Debt,0.22,10,Krishna Cheemalapati,2294,7.738488122494646,1000,1000,2,5,5.1,5.8,2,Invesco India Money Market Fund,0.8,1.14,1.82,Money Market Funds
2.38,Invesco Mutual Fund,0.91,Equity,0.65,10,Pranav Gokhale,2347,7.761319180947987,1000,500,3,1.4,27,11,6,Invesco India Multicap Fund,16.67,1.43,2.86,Multi Cap Funds
0.55,Invesco Mutual Fund,0.42,Debt,0.09,3,Krishna Cheemalapati,337,5.823045895483019,1000,100,3,5.3,3.8,8.8,1,Invesco India Overnight Fund,0.35,-0.06,-0.3,Overnight Mutual Funds
3.08,Invesco Mutual Fund,0.66,Equity,0.96,10,Dhimant Kothari,394,5.978885764901122,1000,500,3,16.2,26.5,12.6,6,Invesco India PSU Equity Fund,18.45,1.19,2.73,Sectoral / Thematic Mutual Funds
4.41,Invesco Mutual Fund,2.19,Debt,0.35,10,Vikas Garg,350,5.860786223465865,1000,1000,2,3.9,6.2,6.8,2,Invesco India Short Term Fund,1.93,0.76,1.31,Short Duration Funds
3.51,Invesco Mutual Fund,0.82,Equity,0.78,4,Taher Badshah,1400,7.244941546337007,1000,500,3,3.5,34.6,8.8,6,Invesco India Smallcap Fund,18.25,1.7,3.38,Small Cap Mutual Funds
-2.63,Invesco Mutual Fund,0.94,Equity,0.92,10,Amit Nigam,1833,7.51425465281641,500,500,3,-5.2,22.4,10.8,6,Invesco India Tax Plan – Direct Growth,16.3,1.19,2.21,ELSS Mutual Funds
2.95,Invesco Mutual Fund,1.27,Debt,0.32,10,Krishna Cheemalapati,1230,7.115582126184454,1000,100,2,4.9,5.6,6.4,2,Invesco India Treasury Advantage Fund,0.93,1.34,2.9,Low Duration Funds
2.51,Invesco Mutual Fund,1.2,Debt,0.24,10,Krishna Cheemalapati,818,6.70808408385307,1000,1000,3,5.4,5.1,6,2,Invesco India Ultra Short Term Fund,0.57,1.59,3.4,Ultra Short Duration Funds
-0.04,ITI Mutual Fund,0.31,Hybrid,0.22,4,Vikrant Mehta,7.04,2.084429083190875,5000,500,1,3.9,3.3,8.8,1,ITI Arbitrage Fund,0.65,-0.71,-1.02,Arbitrage Mutual Funds
-0.95,ITI Mutual Fund,0.59,Hybrid,0.35,3,Dhimant Shah,452,6.115892125483034,5000,500,1,-0.2,12.3,8.8,6,ITI Balanced Advantage Fund,11.13,0.88,2.56,Dynamic Asset Allocation or Balanced Advantage
1.82,ITI Mutual Fund,0.86,Debt,0.15,2,Vikrant Mehta,27,3.332204510175204,5000,500,5,5.4,18.15,8.8,2,ITI Banking & PSU Debt Fund,12.1,1.29,2.86,Banking and PSU Mutual Funds
1.82,ITI Mutual Fund,0.86,Debt,0.14,2,Vikrant Mehta,57,4.060443010546419,5000,500,5,5.7,18.15,8.8,2,ITI Dynamic Bond Fund,12.1,1.29,2.86,Dynamic Bond
0.63,ITI Mutual Fund,0.47,Debt,0.09,4,Vikrant Mehta,31,3.4657359027997265,5000,500,2,5.5,3.9,8.8,1,ITI Liquid Fund,0.37,0,-0.02,Liquid Mutual Funds
0.26,ITI Mutual Fund,0.86,Equity,0.44,3,Dhimant Shah,156,5.056245805348308,500,500,2,5.6,23.7,8.8,6,ITI Long Term Equity Fund,15.59,1.31,3.29,ELSS Mutual Funds
0.48,ITI Mutual Fund,0.42,Debt,0.08,3,Vikrant Mehta,26,3.295836866004329,5000,500,1,5.2,3.8,8.8,1,ITI Overnight Fund,0.34,-0.22,-1.11,Overnight Mutual Funds
-4.78,ITI Mutual Fund,0.95,Equity,0.44,3,Dhimant Shah,1015,6.923628628138427,5000,500,1,6.5,29.4,8.8,6,ITI Small Cap Fund,21.23,1.27,2.41,Small Cap Mutual Funds
1.82,ITI Mutual Fund,0.86,Debt,0.1,2,Vikrant Mehta,119,4.787491742782046,5000,500,2,5.3,18.15,8.8,2,ITI Ultra Short Duration Fund,12.1,1.29,2.86,Ultra Short Duration Funds
0.56,JM Financial Mutual Fund,0.55,Hybrid,0.36,10,Asit Bhandarkar,60,4.110873864173311,5000,500,1,5.4,3.7,4.5,1,JM Arbitrage Fund,0.72,-0.23,-0.31,Arbitrage Mutual Funds
1.34,JM Financial Mutual Fund,0.65,Debt,0.63,10,Gurvinder Singh Wasan,43,3.784189633918261,5000,1000,4,4.8,6,6.1,2,JM Dynamic Bond Fund,1.61,0.95,1.64,Dynamic Bond
5.95,JM Financial Mutual Fund,1,Hybrid,1.37,10,Asit Bhandarkar,11,2.4849066497880004,5000,500,4,8,29.5,11.2,6,JM Equity Hybrid Fund,17.44,1.4,3.79,Aggressive Hybrid Mutual Funds
1.75,JM Financial Mutual Fund,0.9,Equity,1.62,10,Gurvinder Singh Wasan,255,5.545177444479562,5000,500,4,5.2,30.7,13.8,6,JM Flexicap Fund,16.28,1.4,3.67,Flexi Cap Funds
-2.98,JM Financial Mutual Fund,0.93,Equity,1.58,10,Gurvinder Singh Wasan,42,3.7612001156935624,5000,500,1,3.1,19.4,8.6,6,JM Focused Fund,16.71,1.08,2.5,Focused Funds
-0.69,JM Financial Mutual Fund,0.67,Equity,1.8,10,Gurvinder Singh Wasan,44,3.8066624897703196,5000,500,5,1.8,18.3,10.4,6,JM Large Cap Fund,12.03,1.2,2.94,Large Cap Mutual Funds
1.22,JM Financial Mutual Fund,0.68,Debt,0.15,10,Shalini Tibrewala,1426,7.2633296174768365,5000,1000,4,5.6,4.2,5.3,2,JM Liquid Fund,0.36,0.86,3.82,Liquid Mutual Funds
9.03,JM Financial Mutual Fund,1.19,Debt,0.34,10,Shalini Tibrewala,151,5.0238805208462765,5000,1000,4,5.1,11.5,5.3,2,JM Low Duration Fund,11.61,0.64,12.57,Low Duration Funds
0.23,JM Financial Mutual Fund,1.39,Debt,0.48,10,Gurvinder Singh Wasan,19,2.995732273553991,5000,1000,2,2.5,4.8,3.1,3,JM Medium to Long Duration Fund,3.03,0.2,0.28,Medium to Long Duration Funds
0.39,JM Financial Mutual Fund,0.93,Equity,1.45,10,Gurvinder Singh Wasan,70,4.2626798770413155,500,500,3,0.9,26.2,12.8,6,JM Tax Gain Fund,16.56,1.35,2.94,ELSS Mutual Funds
4.56,JM Financial Mutual Fund,0.89,Equity,1.87,10,Gurvinder Singh Wasan,163,5.099866427824199,5000,500,2,7.7,28.9,12.4,6,JM Value Fund,16.13,1.53,3.94,Value Funds
3.56,Kotak Mahindra Mutual Fund,0.56,Hybrid,0.48,5,Harish Krishnan,14279,9.566615235893575,1000,1000,3,5.5,18.1,8.8,6,Kotak Balanced Advantage Fund,8.76,1.59,4.01,Dynamic Asset Allocation or Balanced Advantage
4.03,Kotak Mahindra Mutual Fund,1.45,Debt,0.37,10,Deepak Agrawal,5256,8.567315800819449,5000,1000,3,4.7,6.7,7.5,3,Kotak Banking and PSU Debt Fund,2.03,1.03,1.87,Banking and PSU Mutual Funds
1.75,Kotak Mahindra Mutual Fund,0.91,Equity,0.64,10,Harish Krishnan,5259,8.567886305731756,1000,100,5,3.3,26.8,12.6,6,Kotak Bluechip Fund,15.3,1.45,3.48,Large Cap Mutual Funds
4.73,Kotak Mahindra Mutual Fund,2.06,Debt,0.36,10,Deepak Agrawal,12203,9.40951904583656,5000,1000,3,4.4,6.5,7.2,3,Kotak Bond – Short Term Fund,1.76,1.12,1.89,Short Duration Funds
1.47,Kotak Mahindra Mutual Fund,1.57,Debt,0.63,10,Abhishek Bisen,1584,7.368339686311381,5000,1000,3,4.1,6.4,7.7,2,Kotak Bond Fund,3.19,0.6,0.72,Medium to Long Duration Funds
1.73,Kotak Mahindra Mutual Fund,0.59,Debt,0.32,10,Deepak Agrawal,8880,9.091669442258505,5000,1000,3,4.5,6.4,7.1,2,Kotak Corporate Bond Fund,1.54,1.23,2.25,Corporate Bond Mutual Funds
0.82,Kotak Mahindra Mutual Fund,-0.4,Debt,0.74,10,Deepak Agrawal,1204,7.094234845924755,5000,1000,2,1.6,5.9,6.4,5,Kotak Credit Risk Fund,2.92,0.47,0.42,Credit Risk Funds
4.79,Kotak Mahindra Mutual Fund,0.7,Hybrid,0.44,10,Devender Singhal,1650,7.409136443920128,5000,1000,5,6.1,14.3,10,4,Kotak Debt Hybrid Fund,4.73,2.06,3.44,Conservative Hybrid Mutual Funds
1.66,Kotak Mahindra Mutual Fund,1.32,Debt,0.4,10,Deepak Agrawal,1992,7.597396320212795,5000,1000,4,3.9,6.6,7.8,3,Kotak Dynamic Bond Fund,2.95,0.69,1,Dynamic Bond
3.18,Kotak Mahindra Mutual Fund,0.9,Equity,0.49,10,Pankaj Tibrewal,23962,10.084266253072569,100,100,4,6.6,34,15.2,6,Kotak Emerging Equity Fund,16.42,1.82,3.73,Mid Cap Mutual Funds
1.66,Kotak Mahindra Mutual Fund,0.54,Hybrid,0.43,10,Hiten Shah,21917,9.995063496023338,5000,1000,4,5.8,4.9,5.6,1,Kotak Equity Arbitrage Fund,0.75,1.26,1.46,Arbitrage Mutual Funds
7.32,Kotak Mahindra Mutual Fund,0.79,Hybrid,0.58,8,Pankaj Tibrewal,3269,8.0925452638913,5000,1000,3,5,26.9,12.8,6,Kotak Equity Hybrid Fund,11.76,1.86,3.89,Aggressive Hybrid Mutual Funds
4.72,Kotak Mahindra Mutual Fund,0.84,Equity,0.6,10,Harsha Upadhyaya,11608,9.359535938338036,500,500,4,6.2,28.8,13.9,6,Kotak Equity Opportunities – Direct Growth,14.62,1.64,3.43,Large & Mid Cap Funds
4.5,Kotak Mahindra Mutual Fund,0.79,Hybrid,1.02,8,Devender Singhal,2097,7.6487397889562425,5000,1000,4,6.6,14.4,9.2,4,Kotak Equity Savings Fund,5.64,1.8,4.22,Equity Savings Mutual Funds
0.11,Kotak Mahindra Mutual Fund,0.88,Equity,0.68,10,Harsha Upadhyaya,35775,10.48503255651477,5000,500,3,3.8,25,11.7,6,Kotak Flexi Cap Fund,15.22,1.37,2.7,Flexi Cap Funds
3.79,Kotak Mahindra Mutual Fund,1.03,Debt,0.22,4,Deepak Agrawal,4796,8.475746001502063,5000,1000,2,4.6,7,8.8,2,Kotak Floating Rate Fund,2.35,1.02,1.86,Floater Mutual Funds
1.39,Kotak Mahindra Mutual Fund,0.9,Equity,0.51,4,Shibani Kurian,2447,7.803026643632217,5000,1000,3,0.5,26.6,8.8,6,Kotak Focused Equity Fund,15.69,1.44,2.85,Focused Funds
1.3,Kotak Mahindra Mutual Fund,0.7,Debt,0.41,10,Abhishek Bisen,1699,7.438383530044307,5000,1000,4,5.2,6.3,8.4,2,Kotak Gilt – Invest Plan – Direct Growth,3.24,0.64,0.81,Gilt Mutual Funds
1.3,Kotak Mahindra Mutual Fund,0.7,Debt,0.41,10,Abhishek Bisen,1699,7.438383530044307,5000,1000,4,5.2,6.3,8.4,2,Kotak Gilt Invest – PF & Trust Plan – Direct Growth,3.23,0.64,0.81,Gilt Mutual Funds
-0.32,Kotak Mahindra Mutual Fund,0.97,Other,0.18,10,Abhishek Bisen,1406,7.249215057114389,5000,1000,3,14.2,12.2,13.7,5,Kotak Gold Fund,13.51,0.48,1.08,FoFs Domestic
4.24,Kotak Mahindra Mutual Fund,0.92,Equity,0.81,10,Shibani Kurian,1440,7.273092595999522,5000,1000,4,7.3,29.7,14.2,6,Kotak India EQ Contra Fund,15.95,1.57,3.35,Contra Funds
7.67,Kotak Mahindra Mutual Fund,0.95,Equity,0.34,5,Devender Singhal,90,4.51085950651685,5000,0,3,4.8,35.5,15.6,6,Kotak India Growth Fund,17.23,1.75,3.71,Multi Cap Funds
14.15,Kotak Mahindra Mutual Fund,0.6,Equity,1,10,Harish Krishnan,727,6.590301048196686,5000,1000,4,23.2,39.7,13.9,6,Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,16.65,2,4.55,Sectoral / Thematic Mutual Funds
1.33,Kotak Mahindra Mutual Fund,0.76,Debt,0.15,10,Deepak Agrawal,33220,10.410937485062203,100,1000,2,5.6,4.3,5.3,3,Kotak Liquid Fund,0.38,0.85,3.68,Liquid Mutual Funds
2.9,Kotak Mahindra Mutual Fund,0.78,Debt,0.43,10,Deepak Agrawal,7420,8.912069097970134,5000,1000,3,5.4,6.2,6.9,3,Kotak Low Duration Fund,1.3,1.43,2.67,Low Duration Funds
2.04,Kotak Mahindra Mutual Fund,0.79,Debt,0.58,9,Deepak Agrawal,1934,7.5678626054638825,5000,1000,4,4,7,6.6,3,Kotak Medium Term Fund,3.41,0.66,0.71,Medium Duration Funds
2.59,Kotak Mahindra Mutual Fund,1.2,Debt,0.26,10,Deepak Agrawal,14248,9.564442007795789,5000,0,3,5.6,5.1,6.1,3,Kotak Money Market Fund,0.51,1.92,4.43,Money Market Funds
8.04,Kotak Mahindra Mutual Fund,0.7,Other,0.13,10,Devender Singhal,783,6.664409020350408,5000,1000,3,11.2,25,15.3,5,Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,10.99,1.91,4.33,FoFs Domestic
0.56,Kotak Mahindra Mutual Fund,0.42,Debt,0.07,4,Deepak Agrawal,8999,9.104979856318357,5000,0,3,5.4,3.9,8.8,1,Kotak Overnight Fund,0.35,-0.02,-0.1,Overnight Mutual Funds
2.57,Kotak Mahindra Mutual Fund,1.12,Debt,0.37,10,Deepak Agrawal,12325,9.419466131522189,5000,1000,3,5.5,5.2,6.2,3,Kotak Savings Fund,0.58,1.85,4.14,Ultra Short Duration Funds
8.99,Kotak Mahindra Mutual Fund,0.81,Equity,0.59,10,Pankaj Tibrewal,8617,9.061608318175784,500,500,4,-0.7,43.1,17,6,Kotak Small Cap Fund,18.26,1.98,4.06,Small Cap Mutual Funds
4.69,Kotak Mahindra Mutual Fund,0.83,Equity,0.69,10,Harsha Upadhyaya,3167,8.060855752934316,500,500,4,5,28.9,14.4,6,Kotak Tax Saver Fund,14.44,1.68,3.36,ELSS Mutual Funds
1.82,L&T Mutual Fund,0.86,Equity,1.09,4,Venugopal Manghat,946,6.853299093186078,5000,500,3,-0.7,33.7,11.3,6,L&T Focused Equity Fund,12.1,1.29,2.86,Focused Funds
-2.34,L&T Mutual Fund,0.97,Equity,1.49,10,Venugopal Manghat,757,6.630683385642372,5000,500,2,0.8,33,12.1,6,L&T India Large Cap Fund,16.62,1.18,2.6,Large Cap Mutual Funds
1.23,LIC Mutual Fund,0.6,Hybrid,0.31,4,Jaiprakash Toshniwal,27,3.332204510175204,5000,1000,2,5.5,4.4,8.8,1,LIC MF Arbitrage Fund,0.78,0.55,0.67,Arbitrage Mutual Funds
0.9,LIC Mutual Fund,0.85,Equity,1.54,8,Jaiprakash Toshniwal,121,4.804021044733257,5000,1000,2,13.9,22.7,8.5,6,LIC MF Banking & Fina Serv Fund,22.14,0.97,2.19,Sectoral / Thematic Mutual Funds
3.94,LIC Mutual Fund,2.05,Debt,0.28,10,Marzban Irani,1190,7.0825485693553,5000,1000,3,4.2,5.7,6.8,2,LIC MF Banking & PSU Debt Fund,1.53,0.78,1.49,Banking and PSU Mutual Funds
0.23,LIC Mutual Fund,1.24,Debt,0.21,10,Marzban Irani,111,4.718498871295094,5000,1000,2,4.4,4.7,6.2,3,LIC MF Bond Fund,2.6,0.22,0.32,Medium to Long Duration Funds
-3.65,LIC Mutual Fund,0.9,Solution Oriented,1.86,10,Karan Desai,12,2.5649493574615367,5000,1000,1,-1.9,17.1,7.6,6,LIC MF Children’s Gift Fund,13.05,0.99,2.54,Childrens Funds
-0.54,LIC Mutual Fund,0.61,Hybrid,1.34,10,Karan Desai,61,4.127134385045092,5000,1000,3,2.5,8.1,6.7,4,LIC MF Debt Hybrid Fund,4.14,0.92,2.11,Conservative Hybrid Mutual Funds
-2.85,LIC Mutual Fund,0.77,Hybrid,1.43,10,Karan Desai,378,5.937536205082426,5000,1000,1,-0.5,15.1,8.3,6,LIC MF Equity Hybrid Fund,11.49,0.99,2.26,Aggressive Hybrid Mutual Funds
-4.31,LIC Mutual Fund,0.8,Equity,1.74,10,Amit Nadekar,383,5.950642552587727,5000,1000,2,-0.9,18.3,8.8,6,LIC MF Flexi Cap Fund,14.27,1.02,2.15,Flexi Cap Funds
0.27,LIC Mutual Fund,0.45,Debt,0.76,10,Marzban Irani,46,3.8501476017100584,10000,1000,3,3.3,4.9,7.7,2,LIC MF G-Sec Fund,2.23,0.35,0.51,Gilt Mutual Funds
7.11,LIC Mutual Fund,0.57,Equity,1.47,10,Yogesh Patil,90,4.51085950651685,5000,1000,3,6.7,29.8,11.2,6,LIC MF Infrastructure Fund,16.12,1.56,3.89,Sectoral / Thematic Mutual Funds
0.78,LIC Mutual Fund,0.84,Equity,0.84,8,Yogesh Patil,1888,7.543802867501509,5000,1000,3,-4.3,22.8,10.9,6,LIC MF Large & Mid Cap Fund,14.89,1.34,2.59,Large & Mid Cap Funds
-3.35,LIC Mutual Fund,0.88,Equity,1.39,10,Yogesh Patil,648,6.47543271670409,5000,1000,2,-3.2,19.7,10.9,6,LIC MF Large Cap Fund,15.42,1.08,2.37,Large Cap Mutual Funds
1.33,LIC Mutual Fund,0.73,Debt,0.16,10,Rahul Singh,5996,8.69901462316851,5000,1000,3,5.6,4.4,5.3,3,LIC MF Liquid Fund,0.37,0.97,4.72,Liquid Mutual Funds
-0.85,LIC Mutual Fund,1,Other,0.2,10,Jaiprakash Toshniwal,53,3.9889840465642745,5000,1000,3,1,25.8,11.7,6,LIC MF Nifty 50 Index Fund,16.75,1.3,3.44,Index Funds
