date,nav
2013-01-14,13.0
2013-01-15,13.03
2013-01-16,12.96
2013-01-17,13.17
2013-01-18,13.06
2013-01-21,13.06
2013-01-22,12.95
2013-01-23,12.94
2013-01-24,12.89
2013-01-25,13.0
2013-01-28,13.02
2013-01-29,12.93
2013-01-30,12.88
2013-01-31,12.87
2013-02-01,12.79
2013-02-04,12.77
2013-02-05,10.0
2013-02-06,10.08
2013-02-07,10.1
2013-02-08,10.15
2013-02-11,10.12
2013-02-12,10.07
2013-02-13,10.18
2013-02-14,10.14
2013-02-15,10.08
2013-02-18,10.07
2013-02-19,10.18
2013-02-20,10.23
2013-02-21,10.14
2013-02-22,10.22
2013-02-25,10.35
2013-02-26,10.39
2013-02-27,10.33
2013-02-28,10.35
2013-03-01,10.35
2013-03-04,10.32
2013-03-05,10.44
2013-03-06,10.57
2013-03-07,10.72
2013-03-08,10.69
2013-03-11,10.64
2013-03-12,10.55
2013-03-13,10.45
2013-03-14,10.49
2013-03-15,10.48
2013-03-18,10.46
2013-03-19,10.34
2013-03-20,10.24
2013-03-21,10.29
2013-03-22,10.23
2013-03-25,10.21
2013-03-26,10.29
2013-03-28,10.4
2013-04-01,10.47
2013-04-02,10.51
2013-04-03,10.4
2013-04-04,10.13
2013-04-05,10.09
2013-04-08,10.07
2013-04-09,9.96
2013-04-10,10.14
2013-04-11,10.3
2013-04-12,9.43
2013-04-15,9.41
2013-04-16,9.39
2013-04-17,9.34
2013-04-18,9.41
2013-04-22,9.32
2013-04-23,9.35
2013-04-25,9.29
2013-04-26,9.25
2013-04-29,9.31
2013-04-30,9.39
2013-05-02,9.56
2013-05-03,9.57
2013-05-06,9.72
2013-05-07,9.78
2013-05-08,9.77
2013-05-09,9.8
2013-05-10,9.8
2013-05-13,9.62
2013-05-14,9.65
2013-05-15,9.73
2013-05-16,9.65
2013-05-17,9.66
2013-05-20,9.65
2013-05-21,9.71
2013-05-22,9.73
2013-05-23,9.62
2013-05-24,9.56
2013-05-27,9.7
2013-05-28,9.77
2013-05-29,9.73
2013-05-30,9.73
2013-05-31,9.73
2013-06-03,9.8
2013-06-04,9.76
2013-06-05,9.69
2013-06-06,9.68
2013-06-07,9.75
2013-06-10,9.81
2013-06-11,9.74
2013-06-12,9.63
2013-06-13,9.57
2013-06-14,9.61
2013-06-17,9.73
2013-06-18,9.77
2013-06-19,9.81
2013-06-20,9.56
2013-06-21,9.66
2013-06-24,9.53
2013-06-25,9.53
2013-06-26,9.59
2013-06-27,9.87
2013-06-28,9.97
2013-07-01,9.89
2013-07-02,9.84
2013-07-03,9.77
2013-07-04,10.02
2013-07-05,9.95
2013-07-08,9.98
2013-07-09,10.04
2013-07-10,10.07
2013-07-11,10.21
2013-07-12,10.72
2013-07-15,10.75
2013-07-16,10.76
2013-07-17,10.79
2013-07-18,10.86
2013-07-19,11.1
2013-07-22,11.19
2013-07-23,11.23
2013-07-24,11.35
2013-07-25,11.37
2013-07-26,11.35
2013-07-29,11.36
2013-07-30,11.34
2013-07-31,11.58
2013-08-01,11.53
2013-08-02,11.6
2013-08-05,11.63
2013-08-06,11.5
2013-08-07,11.37
2013-08-08,11.48
2013-08-12,11.59
2013-08-13,11.79
