date,nav
2006-04-03,30.47
2006-04-04,30.38
2006-04-05,31.15
2006-04-07,31.29
2006-04-10,32.04
2006-04-12,31.33
2006-04-13,30.78
2006-04-17,31.23
2006-04-18,31.59
2006-04-19,31.31
2006-04-20,31.05
2006-04-21,31.25
2006-04-24,31.28
2006-04-25,30.55
2006-04-26,31.42
2006-04-27,31.76
2006-04-28,31.81
2006-05-02,32.34
2006-05-03,32.66
2006-05-04,33.15
2006-05-05,33.98
2006-05-08,34.02
2006-05-09,34.19
2006-05-10,34.34
2006-05-11,33.82
2006-05-12,33.72
2006-05-15,32.95
2006-05-16,32.24
2006-05-17,33.22
2006-05-18,31.2
2006-05-19,29.79
2006-05-22,28.45
2006-05-23,29.14
2006-05-24,29.19
2006-05-25,28.97
2006-05-26,29.7
2006-05-29,29.9
2006-05-30,29.5
2006-05-31,28.6
2006-06-01,27.77
2006-06-02,27.76
2006-06-05,27.33
2006-06-06,26.41
2006-06-07,24.79
2006-06-08,22.95
2006-06-09,24.62
2006-06-12,24.44
2006-06-13,22.76
2006-06-14,22.13
2006-06-15,23.48
2006-06-16,24.46
2006-06-19,24.34
2006-06-20,24.39
2006-06-21,25.0
2006-06-22,25.38
2006-06-23,25.25
2006-06-26,24.5
2006-06-27,24.25
2006-06-28,24.06
2006-06-29,24.39
2006-06-30,25.0
2006-07-03,24.91
2006-07-04,24.69
2006-07-05,24.77
2006-07-06,24.68
2006-07-07,24.59
2006-07-10,24.38
2006-07-11,24.44
2006-07-12,24.68
2006-07-13,24.87
2006-07-14,24.71
2006-07-17,24.35
2006-07-18,24.07
2006-07-19,23.54
2006-07-20,23.95
2006-07-21,23.52
2006-07-24,23.3
2006-07-25,23.66
2006-07-26,23.96
2006-07-27,23.89
2006-07-28,23.86
2006-07-31,24.16
2006-08-01,23.99
2006-08-02,24.19
2006-08-03,24.41
2006-08-04,24.58
2006-08-07,24.74
2006-08-08,24.95
2006-08-09,25.44
2006-08-10,25.92
2006-08-11,26.45
2006-08-14,26.52
2006-08-16,26.8
2006-08-17,26.88
2006-08-18,27.5
2006-08-21,27.66
2006-08-22,27.56
2006-08-23,27.31
2006-08-24,27.37
2006-08-25,27.44
2006-08-28,27.32
2006-08-29,27.33
2006-08-30,27.17
2006-08-31,27.21
2006-09-01,27.63
2006-09-04,28.28
2006-09-05,28.61
2006-09-06,28.84
2006-09-07,28.46
2006-09-08,28.96
2006-09-11,28.17
2006-09-12,28.08
2006-09-13,28.73
2006-09-14,28.85
2006-09-15,28.74
2006-09-18,29.14
2006-09-19,28.74
2006-09-20,28.75
2006-09-21,28.82
2006-09-22,28.55
2006-09-25,28.58
2006-09-26,28.45
2006-09-27,28.57
2006-09-28,28.49
2006-09-29,28.63
2006-10-03,28.4
2006-10-04,28.17
2006-10-05,28.47
2006-10-06,28.46
2006-10-09,28.63
2006-10-10,28.82
2006-10-11,28.49
2006-10-12,28.44
2006-10-13,28.6
2006-10-16,28.64
2006-10-17,28.48
2006-10-18,28.55
2006-10-19,28.44
2006-10-20,28.49
2006-10-23,28.64
2006-10-26,28.62
2006-10-27,28.64
2006-10-30,28.72
2006-10-31,28.68
2006-11-01,28.69
2006-11-02,29.03
2006-11-03,29.26
2006-11-06,29.51
2006-11-07,29.46
2006-11-08,29.14
2006-11-09,29.51
2006-11-10,29.73
2006-11-13,29.83
2006-11-14,29.7
2006-11-15,29.48
2006-11-16,29.36
2006-11-17,28.91
2006-11-20,28.81
2006-11-21,28.79
2006-11-22,28.91
2006-11-23,28.88
2006-11-24,28.99
2006-11-27,29.04
2006-11-28,29.02
2006-11-29,29.29
2006-11-30,29.18
2006-12-01,29.46
2006-12-04,29.67
2006-12-05,29.63
2006-12-06,29.58
2006-12-07,29.47
2006-12-08,29.11
2006-12-11,28.46
2006-12-12,27.47
2006-12-13,27.75
2006-12-14,28.05
2006-12-15,28.2
2006-12-18,28.27
2006-12-19,27.92
2006-12-20,28.18
2006-12-21,28.28
2006-12-22,28.39
2006-12-26,28.74
2006-12-27,29.21
2006-12-28,29.73
2006-12-29,29.56
2007-01-02,29.88
2007-01-03,30.16
2007-01-04,30.51
2007-01-05,30.31
2007-01-08,30.11
2007-01-09,29.77
2007-01-10,29.43
2007-01-11,29.55
2007-01-12,29.82
2007-01-15,30.32
2007-01-16,30.42
2007-01-17,30.37
2007-01-18,30.47
2007-01-19,30.16
2007-01-22,30.46
2007-01-23,30.19
2007-01-24,29.93
2007-01-25,29.74
2007-01-29,29.73
2007-01-31,29.64
2007-02-01,29.62
2007-02-02,29.88
2007-02-05,30.04
2007-02-06,29.96
2007-02-07,30.07
2007-02-08,30.01
2007-02-09,29.62
2007-02-12,28.77
2007-02-13,28.39
2007-02-14,28.35
2007-02-15,29.17
2007-02-19,29.13
2007-02-20,28.96
2007-02-21,28.7
2007-02-22,28.54
2007-02-23,27.86
2007-02-26,27.96
2007-02-27,27.96
2007-02-28,27.12
2007-03-01,27.28
2007-03-02,27.05
2007-03-05,26.02
2007-03-06,25.96
2007-03-07,25.72
2007-03-08,26.43
2007-03-09,26.22
2007-03-12,26.23
2007-03-13,26.7
2007-03-14,26.33
2007-03-15,26.54
2007-03-16,26.37
2007-03-19,26.69
2007-03-20,26.95
2007-03-21,26.88
2007-03-22,27.15
2007-03-23,27.1
2007-03-26,27.09
2007-03-28,27.01
2007-03-29,26.97
2007-03-30,27.72
2007-04-02,26.95
2007-04-03,26.77
2007-04-04,27.11
2007-04-05,27.35
2007-04-09,27.72
2007-04-10,27.7
2007-04-11,27.83
2007-04-12,27.63
2007-04-13,27.94
2007-04-16,28.5
2007-04-17,28.23
2007-04-18,28.26
2007-04-19,28.48
2007-04-20,28.8
2007-04-23,28.73
2007-04-24,28.68
2007-04-25,29.29
2007-04-26,29.34
2007-04-27,28.42
2007-04-30,28.54
2007-05-03,28.97
2007-05-04,28.87
2007-05-07,28.83
2007-05-08,28.48
2007-05-09,28.38
2007-05-10,28.41
2007-05-11,28.43
2007-05-14,28.97
2007-05-15,28.97
2007-05-16,29.05
2007-05-17,28.91
2007-05-18,28.68
2007-05-21,29.02
2007-05-22,28.92
2007-05-23,28.95
2007-05-24,28.57
2007-05-25,28.56
2007-05-28,29.08
2007-05-29,29.49
2007-05-30,29.39
2007-05-31,29.76
2007-06-01,29.97
2007-06-04,29.77
2007-06-05,29.74
2007-06-06,29.52
2007-06-07,29.51
2007-06-08,29.3
2007-06-11,29.36
2007-06-12,29.57
2007-06-13,29.19
2007-06-14,29.28
2007-06-15,29.36
2007-06-18,29.15
2007-06-19,29.4
2007-06-20,29.32
2007-06-21,30.27
