date,nav
2011-05-23,18.14
2011-05-24,18.28
2011-05-25,18.02
2011-05-26,18.15
2011-05-27,18.13
2011-05-30,18.03
2011-05-31,17.99
2011-06-01,18.15
2011-06-02,18.08
2011-06-03,18.23
2011-06-06,18.27
2011-06-07,18.49
2011-06-08,18.49
2011-06-09,18.46
2011-06-10,18.38
2011-06-13,18.36
2011-06-14,18.34
2011-06-15,18.17
2011-06-16,17.94
2011-06-17,17.76
2011-06-20,17.39
2011-06-21,17.51
2011-06-22,17.58
2011-06-23,17.68
2011-06-24,18.09
2011-06-27,18.21
2011-06-28,18.23
2011-06-29,18.36
2011-06-30,18.5
2011-07-01,18.57
2011-07-04,18.61
2011-07-05,18.69
2011-07-06,18.65
2011-07-07,18.87
2011-07-08,18.74
2011-07-11,18.52
2011-07-12,17.97
2011-07-13,17.96
2011-07-14,17.8
2011-07-15,17.68
2011-07-18,17.58
2011-07-19,17.74
2011-07-20,17.65
2011-07-21,17.69
2011-07-22,17.94
2011-07-25,17.87
2011-07-26,17.83
2011-07-27,17.79
2011-07-28,17.5
2011-07-29,17.53
2011-08-01,17.67
2011-08-02,17.4
2011-08-03,17.27
2011-08-04,17.09
2011-08-05,16.61
2011-08-08,16.08
2011-08-09,15.49
2011-08-10,15.69
2011-08-11,15.52
2011-08-12,15.21
2011-08-16,15.22
2011-08-17,15.42
2011-08-18,14.91
2011-08-19,14.33
2011-08-22,14.26
2011-08-23,14.68
2011-08-24,14.61
2011-08-25,14.21
2011-08-26,14.13
2011-08-29,14.73
2011-08-30,15.0
2011-09-02,14.87
2011-09-05,14.64
2011-09-06,14.78
2011-09-07,14.82
2011-09-08,15.12
2011-09-09,14.84
2011-09-12,14.41
2011-09-13,14.53
2011-09-14,15.01
2011-09-15,15.3
2011-09-16,15.16
2011-09-19,14.98
2011-09-20,15.39
2011-09-21,15.46
2011-09-22,15.03
2011-09-23,14.98
2011-09-26,14.99
2011-09-27,15.41
2011-09-28,15.4
2011-09-29,15.65
2011-09-30,15.53
2011-10-03,15.27
2011-10-04,15.18
2011-10-05,15.18
2011-10-07,15.44
2011-10-10,15.73
2011-10-11,15.44
2011-10-12,16.13
2011-10-13,16.19
2011-10-14,16.53
2011-10-17,16.58
2011-10-18,16.34
2011-10-19,16.53
2011-10-20,16.54
2011-10-21,16.5
2011-10-24,16.7
2011-10-25,16.99
2011-10-28,17.02
2011-10-31,17.08
2011-11-01,16.92
2011-11-02,16.96
2011-11-03,16.85
2011-11-04,16.89
2011-11-08,16.91
2011-11-09,16.96
2011-11-11,16.87
2011-11-14,16.95
2011-11-15,16.82
2011-11-16,16.71
2011-11-17,16.58
2011-11-18,16.55
2011-11-21,16.31
2011-11-22,16.56
2011-11-23,16.21
2011-11-24,16.36
2011-11-25,16.18
2011-11-28,16.4
2011-11-29,16.29
2011-11-30,16.33
2011-12-01,16.55
2011-12-02,16.75
2011-12-05,16.69
2011-12-07,16.87
2011-12-08,16.76
2011-12-09,16.67
2011-12-12,16.77
2011-12-13,16.8
2011-12-14,16.76
2011-12-15,16.68
2011-12-16,16.61
2011-12-19,16.4
2011-12-20,16.3
2011-12-21,16.55
2011-12-22,16.39
2011-12-23,16.35
2011-12-26,16.64
2011-12-27,16.56
2011-12-28,16.55
2011-12-29,16.51
2011-12-30,16.53
2012-01-02,16.6
2012-01-03,16.96
2012-01-04,16.99
2012-01-05,17.02
2012-01-06,17.02
2012-01-09,16.98
2012-01-10,17.19
2012-01-11,17.11
2012-01-12,16.41
2012-01-13,16.48
2012-01-16,16.63
2012-01-17,16.85
2012-01-18,16.61
2012-01-19,16.55
2012-01-20,16.57
2012-01-23,16.59
2012-01-24,16.72
2012-01-25,16.85
2012-01-27,17.04
2012-01-30,16.83
2012-01-31,17.07
2012-02-01,17.2
2012-02-02,17.49
2012-02-03,17.6
2012-02-06,17.72
2012-02-07,17.55
2012-02-08,17.82
2012-02-09,17.91
2012-02-10,17.93
2012-02-13,17.9
2012-02-14,17.9
2012-02-15,18.16
2012-02-16,18.33
2012-02-17,18.47
2012-02-21,18.48
2012-02-22,18.32
2012-02-23,18.31
2012-02-24,18.68
2012-02-27,18.31
2012-02-28,18.42
2012-02-29,18.62
2012-03-01,18.48
2012-03-02,18.39
2012-03-05,18.16
2012-03-06,18.21
2012-03-07,18.37
2012-03-09,18.43
2012-03-12,18.35
2012-03-13,18.45
2012-03-14,18.52
2012-03-15,18.4
2012-03-16,18.26
2012-03-19,18.2
2012-03-20,18.37
2012-03-21,18.54
2012-03-22,18.29
2012-03-23,18.51
2012-03-26,18.32
2012-03-27,18.45
2012-03-28,18.34
2012-03-29,18.24
2012-03-30,18.56
2012-04-02,18.64
2012-04-03,18.75
2012-04-04,18.74
2012-04-09,18.67
2012-04-10,18.56
2012-04-11,18.59
2012-04-12,18.56
2012-04-13,17.45
2012-04-16,17.41
2012-04-17,17.7
2012-04-18,17.72
2012-04-19,17.83
2012-04-20,17.87
2012-04-23,17.48
2012-04-24,17.95
2012-04-25,17.79
2012-04-26,17.76
2012-04-27,18.01
2012-04-30,18.36
2012-05-02,18.49
2012-05-03,18.4
2012-05-04,18.27
2012-05-07,18.35
2012-05-08,18.04
2012-05-09,17.87
2012-05-10,17.88
2012-05-11,17.7
2012-05-14,17.8
2012-05-15,18.09
2012-05-16,17.8
2012-05-17,17.89
2012-05-18,17.82
2012-05-21,17.63
2012-05-22,17.71
2012-05-23,17.72
2012-05-24,17.96
2012-05-25,17.98
2012-05-28,18.15
2012-05-29,18.24
2012-05-30,18.3
2012-05-31,18.33
2012-06-01,18.05
2012-06-04,18.0
2012-06-05,18.02
2012-06-06,18.26
2012-06-07,18.29
2012-06-08,18.25
2012-06-11,18.2
2012-06-12,18.29
2012-06-13,18.34
2012-06-14,18.38
2012-06-15,18.46
2012-06-18,18.32
2012-06-19,18.34
2012-06-20,18.38
2012-06-21,18.47
2012-06-22,18.34
2012-06-25,18.36
2012-06-26,18.35
2012-06-27,18.53
2012-06-28,18.61
2012-06-29,18.88
2012-07-02,19.0
2012-07-03,19.05
2012-07-04,18.96
2012-07-05,19.01
2012-07-06,18.65
2012-07-09,18.55
2012-07-10,18.68
2012-07-11,18.68
2012-07-12,17.8
2012-07-13,17.81
2012-07-16,17.5
2012-07-17,17.55
2012-07-18,17.58
2012-07-19,17.85
2012-07-20,17.86
2012-07-23,17.63
2012-07-24,17.53
2012-07-25,17.47
2012-07-26,17.12
2012-07-27,17.12
2012-07-30,17.39
2012-07-31,17.58
2012-08-01,17.62
2012-08-02,17.58
2012-08-03,17.74
2012-08-06,17.82
2012-08-07,17.95
2012-08-08,18.06
2012-08-09,17.97
2012-08-10,18.14
2012-08-13,18.19
2012-08-14,18.41
2012-08-16,18.47
2012-08-17,18.58
2012-08-21,18.78
2012-08-22,18.85
2012-08-23,19.08
2012-08-24,19.07
2012-08-27,18.77
2012-08-28,18.7
2012-08-29,18.61
2012-08-30,18.75
2012-08-31,18.65
2012-09-03,18.78
2012-09-04,18.77
2012-09-05,18.64
2012-09-06,19.2
2012-09-07,19.44
2012-09-10,19.64
2012-09-11,19.86
2012-09-12,20.13
2012-09-13,20.17
2012-09-14,20.27
2012-09-17,19.8
2012-09-18,19.81
2012-09-20,19.9
2012-09-21,19.79
2012-09-24,19.82
2012-09-25,19.78
2012-09-26,19.62
2012-09-27,19.47
2012-09-28,19.58
2012-10-01,19.93
2012-10-03,19.84
2012-10-04,19.7
2012-10-05,19.45
2012-10-08,19.3
2012-10-09,19.48
2012-10-10,19.35
2012-10-11,19.38
2012-10-12,19.0
2012-10-15,19.01
2012-10-16,18.95
2012-10-17,18.8
2012-10-18,18.91
2012-10-19,19.0
2012-10-22,19.07
2012-10-23,18.91
2012-10-25,18.93
2012-10-26,18.79
2012-10-29,18.75
2012-10-30,18.85
2012-10-31,18.88
2012-11-01,18.89
2012-11-02,19.04
2012-11-05,18.95
2012-11-06,19.12
2012-11-07,19.26
2012-11-08,19.16
2012-11-09,18.99
2012-11-12,18.97
2012-11-15,18.75
2012-11-16,18.83
2012-11-19,18.76
2012-11-20,18.67
2012-11-21,18.76
2012-11-22,18.86
2012-11-23,18.86
2012-11-26,19.15
2012-11-27,19.45
2012-11-29,19.38
2012-11-30,19.53
2012-12-03,19.62
2012-12-04,19.54
2012-12-05,19.28
2012-12-06,19.11
2012-12-07,18.94
2012-12-10,18.92
2012-12-11,18.96
2012-12-12,19.14
2012-12-13,19.06
2012-12-14,19.19
2012-12-17,19.14
2012-12-18,19.3
2012-12-19,19.35
2012-12-20,19.3
2012-12-21,19.29
2012-12-24,19.31
2012-12-26,19.3
2012-12-27,19.19
2012-12-28,19.35
2012-12-31,19.36
2013-01-01,19.45
2013-01-02,19.47
2013-01-03,19.68
2013-01-04,19.74
2013-01-07,19.7
2013-01-08,19.7
2013-01-09,19.72
2013-01-10,19.71
2013-01-11,20.83
