date,nav
2015-03-05,10.2369
2015-03-09,9.9762
2015-03-10,9.9384
2015-03-11,9.9079
2015-03-12,9.9619
2015-03-13,9.7974
2015-03-16,9.8079
2015-03-17,9.9296
2015-03-18,9.9811
2015-03-19,9.8403
2015-03-20,9.7831
2015-03-23,9.7124
2015-03-24,9.6453
2015-03-25,9.6028
2015-03-26,9.4127
2015-03-27,9.4951
2015-03-30,9.6436
2015-03-31,9.5749
2015-04-01,9.805
2015-04-06,9.8194
2015-04-07,9.7596
2015-04-08,9.7078
2015-04-09,9.9116
2015-04-10,9.8714
2015-04-13,9.8741
2015-04-15,9.8251
2015-04-16,9.771
2015-04-17,9.5825
2015-04-20,9.4513
2015-04-21,9.4502
2015-04-22,9.5354
2015-04-23,9.5871
2015-04-24,9.4772
2015-04-27,9.3161
2015-04-28,9.516
2015-04-29,9.5579
2015-04-30,9.5427
2015-05-04,9.5512
2015-05-05,9.5664
2015-05-06,9.2483
2015-05-07,9.0519
2015-05-08,9.2651
2015-05-11,9.4275
2015-05-12,9.1873
2015-05-13,9.3818
2015-05-14,9.3854
2015-05-15,9.4466
2015-05-18,9.5477
2015-05-19,9.536
2015-05-20,9.6037
2015-05-21,9.5805
2015-05-22,9.5631
2015-05-25,9.4973
2015-05-26,9.5054
2015-05-27,9.5913
2015-05-28,9.559
2015-05-29,9.6925
2015-06-01,9.6521
2015-06-02,9.3494
2015-06-03,9.2196
2015-06-04,9.2626
2015-06-05,9.1936
2015-06-08,9.1305
2015-06-09,9.1318
2015-06-10,9.2214
2015-06-11,9.0199
2015-06-12,9.1067
2015-06-15,9.0736
2015-06-16,9.1557
2015-06-17,9.1656
2015-06-18,9.2699
2015-06-19,9.3895
2015-06-22,9.6061
2015-06-23,9.6362
2015-06-24,9.6202
2015-06-25,9.704
2015-06-26,9.656
2015-06-29,9.5843
2015-06-30,9.629
2015-07-01,9.7619
2015-07-02,9.8065
2015-07-03,9.8844
2015-07-06,9.9271
2015-07-07,9.9292
2015-07-08,9.7066
2015-07-09,9.6747
2015-07-10,9.7692
2015-07-13,9.8469
2015-07-14,9.8107
2015-07-15,9.8342
2015-07-16,9.9989
2015-07-17,9.9697
2015-07-20,9.9607
2015-07-21,9.7994
2015-07-22,9.9273
2015-07-23,9.8759
2015-07-24,9.8095
2015-07-27,9.6324
2015-07-28,9.6803
2015-07-29,9.743
2015-07-30,9.7684
2015-07-31,9.8819
2015-08-03,9.9552
2015-08-04,9.9574
2015-08-05,9.9291
2015-08-06,9.9543
2015-08-07,9.9082
2015-08-10,9.8909
2015-08-11,9.7993
2015-08-12,9.5252
2015-08-13,9.5555
2015-08-14,9.831
2015-08-17,9.805
2015-08-18,9.796
2015-08-19,9.7543
2015-08-20,9.5438
2015-08-21,9.4263
2015-08-24,8.8498
2015-08-25,9.0295
2015-08-26,8.9179
2015-08-27,9.0751
2015-08-28,9.0307
2015-08-31,9.0058
2015-09-01,8.7593
2015-09-02,8.6854
2015-09-03,8.8574
2015-09-04,8.6441
2015-09-07,8.4878
2015-09-08,8.7274
2015-09-09,8.873
2015-09-10,8.8718
2015-09-11,8.8592
2015-09-14,8.9809
2015-09-15,8.9294
2015-09-16,9.0454
2015-09-18,9.2062
2015-09-21,9.2542
2015-09-22,8.998
2015-09-23,9.0958
2015-09-24,9.0688
