date,nav
2010-07-12,10.07
2010-07-13,10.09
2010-07-14,10.08
2010-07-15,9.99
2010-07-16,10.01
2010-07-19,10.04
2010-07-20,10.02
2010-07-21,10.05
2010-07-22,10.08
2010-07-23,10.08
2010-07-26,10.0
2010-07-27,10.02
2010-07-28,10.04
2010-07-29,10.02
2010-07-30,10.05
2010-08-02,10.16
2010-08-03,10.17
2010-08-04,10.17
2010-08-05,10.17
2010-08-06,10.15
2010-08-09,10.23
2010-08-10,10.18
2010-08-11,10.16
2010-08-12,10.29
2010-08-13,10.34
2010-08-16,10.33
2010-08-17,10.37
2010-08-18,10.41
2010-08-20,10.4
2010-08-23,10.55
2010-08-24,10.5
2010-08-25,10.43
2010-08-26,10.47
2010-08-27,10.47
2010-08-30,10.47
2010-08-31,10.4
2010-09-01,10.52
2010-09-02,10.51
2010-09-03,10.57
2010-09-06,10.71
2010-09-07,10.73
2010-09-08,10.8
2010-09-09,10.9
2010-09-13,11.07
2010-09-14,11.1
2010-09-15,11.13
2010-09-16,11.07
2010-09-17,11.09
2010-09-20,11.14
2010-09-21,11.09
2010-09-22,11.08
2010-09-23,11.06
2010-09-24,11.1
2010-09-27,11.19
2010-09-28,11.19
2010-09-29,11.1
2010-10-01,11.21
2010-10-04,11.24
2010-10-05,11.27
2010-10-06,11.34
2010-10-07,11.25
2010-10-08,11.19
2010-10-11,11.22
2010-10-12,11.13
2010-10-13,11.23
2010-10-14,11.14
2010-10-15,10.98
2010-10-18,10.97
2010-10-19,10.95
2010-10-20,10.93
2010-10-21,11.04
2010-10-22,11.05
2010-10-25,11.09
2010-10-26,10.99
2010-10-27,10.91
2010-10-28,10.83
2010-10-29,10.77
2010-11-01,10.86
2010-11-02,10.9
2010-11-03,10.96
2010-11-04,11.22
2010-11-08,11.17
2010-11-09,11.13
2010-11-10,11.1
2010-11-11,10.95
2010-11-12,10.77
2010-11-15,10.83
2010-11-16,10.67
2010-11-18,10.68
2010-11-19,10.53
2010-11-22,10.61
2010-11-23,10.44
2010-11-24,10.29
2010-11-25,10.11
2010-11-26,10.01
2010-11-29,10.11
2010-11-30,10.21
2010-12-01,10.45
2010-12-02,10.51
2010-12-03,10.46
2010-12-06,10.42
2010-12-07,10.38
2010-12-08,10.3
2010-12-09,10.1
2010-12-10,10.19
2010-12-13,10.31
2010-12-14,10.39
2010-12-15,10.32
2010-12-16,10.32
2010-12-20,10.28
2010-12-21,10.32
2010-12-22,10.33
2010-12-23,10.31
2010-12-24,10.29
2010-12-27,10.25
2010-12-28,10.21
2010-12-29,10.25
2010-12-30,10.31
2010-12-31,10.36
2011-01-03,10.42
2011-01-04,10.4
2011-01-05,10.28
2011-01-06,10.17
2011-01-07,10.04
2011-01-10,9.84
2011-01-11,9.9
2011-01-12,9.93
2011-01-13,9.82
2011-01-14,9.7
2011-01-17,9.67
2011-01-18,9.7
2011-01-19,9.68
2011-01-20,9.66
2011-01-21,9.67
2011-01-24,9.75
2011-01-25,9.77
2011-01-27,9.65
2011-01-28,9.54
2011-01-31,9.62
2011-02-01,9.52
2011-02-02,9.52
2011-02-03,9.6
2011-02-04,9.51
2011-02-07,9.5
2011-02-08,9.34
2011-02-09,9.14
2011-02-10,9.1
2011-02-11,9.21
2011-02-14,9.41
2011-02-15,9.45
2011-02-17,9.47
2011-02-18,9.34
2011-02-21,9.36
2011-02-22,9.23
2011-02-23,9.19
2011-02-24,9.02
2011-02-25,9.0
2011-02-28,9.16
2011-03-01,9.4
2011-03-03,9.36
2011-03-04,9.36
2011-03-07,9.32
2011-03-08,9.34
2011-03-09,9.33
2011-03-10,9.32
2011-03-11,9.3
2011-03-14,9.41
2011-03-15,9.33
2011-03-16,9.44
2011-03-17,9.42
2011-03-18,9.36
2011-03-21,9.36
2011-03-22,9.46
2011-03-23,9.54
2011-03-24,9.56
2011-03-25,9.67
2011-03-28,9.7
2011-03-29,9.72
2011-03-30,9.82
2011-03-31,9.84
2011-04-05,10.0
2011-04-06,10.05
2011-04-07,10.06
2011-04-08,9.94
2011-04-11,9.89
