date,nav
2006-04-03,16.01
2006-04-04,16.14
2006-04-05,16.4
2006-04-07,16.02
2006-04-10,16.05
2006-04-12,15.73
2006-04-13,15.49
2006-04-17,15.58
2006-04-18,15.88
2006-04-19,15.91
2006-04-20,16.05
2006-04-21,16.1
2006-04-24,16.19
2006-04-25,15.87
2006-04-26,16.12
2006-04-27,16.36
2006-04-28,16.64
2006-05-02,16.94
2006-05-03,17.0
2006-05-04,16.81
2006-05-05,16.66
2006-05-08,16.77
2006-05-09,16.68
2006-05-10,16.8
2006-05-11,16.64
2006-05-12,16.58
2006-05-15,15.78
2006-05-16,16.03
2006-05-17,16.39
2006-05-18,15.27
2006-05-19,14.36
2006-05-22,13.73
2006-05-23,14.08
2006-05-24,13.97
2006-05-25,14.14
2006-05-26,14.59
2006-05-29,14.53
2006-05-30,14.28
2006-05-31,13.83
2006-06-01,13.27
2006-06-02,13.67
2006-06-05,13.25
2006-06-06,12.86
2006-06-07,12.53
2006-06-08,11.74
2006-06-09,12.58
2006-06-12,12.31
2006-06-13,11.77
2006-06-14,11.53
2006-06-15,12.35
2006-06-16,12.9
2006-06-19,13.21
2006-06-20,13.04
2006-06-21,13.27
2006-06-22,13.47
2006-06-23,13.62
2006-06-26,13.28
2006-06-27,13.46
2006-06-28,13.55
2006-06-29,13.55
2006-06-30,14.02
2006-07-03,14.19
2006-07-04,13.96
2006-07-05,14.19
2006-07-06,14.09
2006-07-07,13.87
2006-07-10,14.0
2006-07-11,14.02
2006-07-12,14.14
2006-07-13,14.18
2006-07-14,14.03
2006-07-17,13.62
2006-07-18,13.61
2006-07-19,13.15
2006-07-20,13.57
2006-07-21,13.07
2006-07-24,13.07
2006-07-25,13.18
2006-07-26,13.51
2006-07-27,13.59
2006-07-28,13.57
2006-07-31,13.51
2006-08-01,13.47
2006-08-02,13.63
2006-08-03,13.58
2006-08-04,13.48
2006-08-07,13.5
2006-08-08,13.73
2006-08-09,13.99
2006-08-10,14.03
2006-08-11,14.01
2006-08-14,14.15
2006-08-16,14.28
2006-08-17,14.29
2006-08-18,14.3
2006-08-21,14.25
2006-08-22,14.25
2006-08-23,14.09
2006-08-24,14.22
2006-08-25,14.27
2006-08-28,14.3
2006-08-29,14.29
2006-08-30,14.3
2006-08-31,14.23
2006-09-01,14.36
2006-09-04,14.53
2006-09-05,14.47
2006-09-06,14.47
2006-09-07,14.37
2006-09-08,14.47
2006-09-11,13.9
2006-09-12,13.97
2006-09-13,14.17
2006-09-14,14.22
2006-09-15,14.25
2006-09-18,14.46
2006-09-19,14.26
2006-09-20,14.38
2006-09-21,14.61
2006-09-22,14.52
2006-09-25,14.4
2006-09-26,14.48
2006-09-27,14.49
2006-09-28,14.41
2006-09-29,14.57
2006-10-03,14.48
2006-10-04,14.4
2006-10-05,14.57
2006-10-06,14.51
2006-10-09,14.48
2006-10-10,14.45
2006-10-11,14.3
2006-10-12,14.33
2006-10-13,14.43
2006-10-16,14.58
2006-10-17,14.42
2006-10-18,14.53
2006-10-19,14.57
2006-10-20,14.51
2006-10-23,14.47
2006-10-26,14.33
2006-10-27,14.45
2006-10-30,14.61
2006-10-31,14.81
2006-11-01,14.87
2006-11-02,14.84
2006-11-03,14.76
2006-11-06,14.98
2006-11-07,15.0
2006-11-08,14.89
2006-11-09,14.96
2006-11-10,14.93
2006-11-13,15.03
2006-11-14,14.88
2006-11-15,14.77
2006-11-16,14.69
2006-11-17,14.49
2006-11-20,14.44
2006-11-21,14.65
2006-11-22,14.54
2006-11-23,14.51
2006-11-24,14.62
2006-11-27,14.55
2006-11-28,14.51
2006-11-29,14.61
2006-11-30,14.68
2006-12-01,14.85
2006-12-04,14.89
2006-12-05,14.95
2006-12-06,14.88
2006-12-07,14.93
2006-12-08,14.79
2006-12-11,14.45
2006-12-12,14.16
2006-12-13,14.22
2006-12-14,14.47
2006-12-15,14.5
2006-12-18,14.49
2006-12-19,14.29
2006-12-20,14.17
2006-12-21,14.25
2006-12-22,14.24
2006-12-26,14.39
2006-12-27,14.39
2006-12-28,14.43
2006-12-29,14.34
2007-01-02,14.47
2007-01-03,14.62
2007-01-04,14.57
2007-01-05,14.59
2007-01-08,14.4
2007-01-09,14.39
2007-01-10,14.28
2007-01-11,14.6
2007-01-12,14.73
2007-01-15,14.82
2007-01-16,14.74
2007-01-17,14.69
2007-01-18,14.92
2007-01-19,14.92
2007-01-22,14.92
2007-01-23,14.74
2007-01-24,14.68
2007-01-25,14.7
2007-01-29,14.54
2007-01-31,14.34
2007-02-01,14.42
2007-02-02,14.41
2007-02-05,14.39
2007-02-06,14.42
2007-02-07,14.43
2007-02-08,14.35
2007-02-09,14.25
2007-02-12,14.0
2007-02-13,13.91
2007-02-14,13.9
2007-02-15,14.18
2007-02-19,14.15
2007-02-20,13.89
2007-02-21,13.81
2007-02-22,13.63
2007-02-23,13.22
2007-02-26,13.23
2007-02-27,13.11
2007-02-28,12.97
2007-03-01,12.89
2007-03-02,12.78
2007-03-05,12.36
2007-03-06,12.39
2007-03-07,12.19
2007-03-08,12.58
2007-03-09,12.52
2007-03-12,12.53
2007-03-13,12.63
2007-03-14,12.44
2007-03-15,12.49
2007-03-16,12.44
2007-03-19,12.51
2007-03-20,12.59
2007-03-21,12.73
2007-03-22,12.96
2007-03-23,12.93
2007-03-26,12.91
2007-03-28,12.83
2007-03-29,12.99
2007-03-30,13.07
2007-04-02,12.75
2007-04-03,12.86
2007-04-04,12.95
2007-04-05,13.06
2007-04-09,13.25
2007-04-10,13.44
2007-04-11,13.46
2007-04-12,13.4
2007-04-13,13.42
2007-04-16,13.62
2007-04-17,13.52
2007-04-18,13.51
2007-04-19,13.6
2007-04-20,13.59
2007-04-23,13.52
2007-04-24,13.55
2007-04-25,13.92
2007-04-26,13.92
2007-04-27,13.77
2007-04-30,13.62
2007-05-03,13.76
2007-05-04,13.93
2007-05-07,13.98
2007-05-08,13.92
2007-05-09,13.74
2007-05-10,13.77
2007-05-11,13.66
2007-05-14,13.8
2007-05-15,13.99
2007-05-16,14.05
2007-05-17,14.01
2007-05-18,14.06
2007-05-21,14.22
2007-05-22,14.23
2007-05-23,14.11
2007-05-24,14.2
2007-05-25,14.24
2007-05-28,14.24
2007-05-29,14.2
2007-05-30,14.04
2007-05-31,14.16
2007-06-01,14.23
2007-06-04,14.12
2007-06-05,14.03
2007-06-06,13.91
2007-06-07,13.87
2007-06-08,13.81
2007-06-11,13.76
2007-06-12,13.78
2007-06-13,13.67
2007-06-14,13.69
2007-06-15,13.72
2007-06-18,13.68
2007-06-19,13.72
2007-06-20,13.65
2007-06-21,13.72
2007-06-22,13.75
2007-06-25,13.66
2007-06-26,13.75
2007-06-27,13.82
2007-06-28,13.88
2007-06-29,13.85
2007-07-02,13.9
2007-07-03,14.07
2007-07-04,14.11
2007-07-05,14.09
2007-07-06,14.13
2007-07-09,14.12
2007-07-10,14.07
2007-07-11,14.06
2007-07-12,14.13
2007-07-13,14.15
2007-07-16,14.09
2007-07-17,14.14
2007-07-18,14.11
2007-07-19,14.2
2007-07-20,14.19
2007-07-23,14.27
2007-07-24,14.12
2007-07-25,14.25
2007-07-26,14.34
2007-07-27,14.11
2007-07-30,14.24
2007-07-31,14.46
2007-08-01,14.02
2007-08-02,14.15
2007-08-03,14.39
2007-08-06,14.22
2007-08-07,14.25
2007-08-08,14.37
2007-08-09,14.13
2007-08-10,13.86
2007-08-13,14.07
2007-08-14,14.03
2007-08-16,13.64
2007-08-17,13.4
2007-08-20,13.55
2007-08-21,13.23
2007-08-22,13.4
2007-08-23,13.31
2007-08-24,13.55
2007-08-27,13.86
2007-08-28,13.95
2007-08-29,13.87
2007-08-30,14.05
2007-08-31,14.21
2007-09-03,14.38
2007-09-04,14.34
2007-09-05,14.33
2007-09-06,14.4
2007-09-07,14.41
2007-09-10,14.52
2007-09-11,14.49
2007-09-12,14.62
2007-09-13,14.75
2007-09-14,14.7
2007-09-17,14.89
2007-09-18,15.28
2007-09-19,15.43
2007-09-20,15.22
2007-09-21,15.03
2007-09-24,15.0
2007-09-25,14.94
2007-09-26,14.94
2007-09-27,14.91
2007-09-28,15.19
2007-10-01,15.39
2007-10-03,15.55
2007-10-04,15.47
2007-10-05,15.45
2007-10-08,15.24
2007-10-09,15.41
2007-10-10,15.62
2007-10-11,15.83
2007-10-12,15.47
2007-10-15,15.7
2007-10-16,15.76
2007-10-17,15.3
2007-10-18,15.08
2007-10-19,14.73
2007-10-22,14.79
2007-10-23,15.17
2007-10-24,15.23
2007-10-25,15.32
2007-10-26,15.61
2007-10-29,15.93
2007-10-30,15.73
2007-10-31,16.2
2007-11-01,15.95
2007-11-02,15.91
2007-11-05,15.83
2007-11-06,15.8
2007-11-07,15.67
2007-11-08,15.63
2007-11-09,15.79
2007-11-12,15.47
2007-11-13,15.51
2007-11-14,15.68
2007-11-15,15.75
2007-11-16,15.95
2007-11-19,16.5
2007-11-20,16.3
2007-11-21,15.86
2007-11-22,15.75
2007-11-23,15.86
2007-11-26,15.97
2007-11-27,16.08
2007-11-28,15.84
2007-11-29,15.5
2007-11-30,15.58
2007-12-03,15.8
2007-12-04,16.11
2007-12-05,16.54
2007-12-06,16.7
2007-12-07,16.42
2007-12-10,16.49
2007-12-11,16.49
2007-12-12,16.67
2007-12-13,16.91
2007-12-14,16.88
2007-12-17,16.48
2007-12-18,16.54
2007-12-19,16.6
2007-12-20,16.65
2007-12-24,16.83
2007-12-26,17.44
2007-12-27,17.39
2007-12-28,17.92
2007-12-31,18.41
2008-01-01,18.43
2008-01-02,18.9
2008-01-03,18.77
2008-01-04,18.91
2008-01-07,19.1
2008-01-08,18.68
2008-01-09,18.65
2008-01-10,17.95
2008-01-11,17.96
2008-01-14,17.96
2008-01-15,17.59
